concept_id,concept_name,vocabulary_id
1633905,AJCC/UICC 6th clinical Stage 1,Cancer Modifier
1634205,AJCC/UICC 6th clinical Stage 1A,Cancer Modifier
1634814,AJCC/UICC 6th clinical Stage 1A1,Cancer Modifier
1634095,AJCC/UICC 6th clinical Stage 1A2,Cancer Modifier
1635579,AJCC/UICC 6th clinical Stage 1A3,Cancer Modifier
1633897,AJCC/UICC 6th clinical Stage 1B,Cancer Modifier
1633403,AJCC/UICC 6th clinical Stage 1B1,Cancer Modifier
1634433,AJCC/UICC 6th clinical Stage 1B2,Cancer Modifier
1633856,AJCC/UICC 6th clinical Stage 1C,Cancer Modifier
1634593,AJCC/UICC 6th clinical Stage 1E,Cancer Modifier
1634349,AJCC/UICC 6th clinical Stage 1s,Cancer Modifier
1634718,AJCC/UICC 6th clinical Stage 2,Cancer Modifier
1634801,AJCC/UICC 6th clinical Stage 2A,Cancer Modifier
1635347,AJCC/UICC 6th clinical Stage 2A1,Cancer Modifier
1634479,AJCC/UICC 6th clinical Stage 2A2,Cancer Modifier
1634008,AJCC/UICC 6th clinical Stage 2B,Cancer Modifier
1633835,AJCC/UICC 6th clinical Stage 2C,Cancer Modifier
1634987,AJCC/UICC 6th clinical Stage 2E,Cancer Modifier
1634888,AJCC/UICC 6th Stage 1,Cancer Modifier
1634027,AJCC/UICC 6th Stage 1A,Cancer Modifier
1633734,AJCC/UICC 6th Stage 1A1,Cancer Modifier
1634553,AJCC/UICC 6th Stage 1A2,Cancer Modifier
1634171,AJCC/UICC 6th Stage 1A3,Cancer Modifier
1634604,AJCC/UICC 6th Stage 1B,Cancer Modifier
1635608,AJCC/UICC 6th Stage 1B1,Cancer Modifier
1633761,AJCC/UICC 6th Stage 1B2,Cancer Modifier
1635191,AJCC/UICC 6th Stage 1C,Cancer Modifier
1634474,AJCC/UICC 6th Stage 1E,Cancer Modifier
1634912,AJCC/UICC 6th Stage 1s,Cancer Modifier
1633753,AJCC/UICC 6th Stage 2,Cancer Modifier
1633482,AJCC/UICC 6th Stage 2A,Cancer Modifier
1633774,AJCC/UICC 6th Stage 2A1,Cancer Modifier
1635877,AJCC/UICC 6th Stage 2A2,Cancer Modifier
1634542,AJCC/UICC 6th Stage 2B,Cancer Modifier
1635239,AJCC/UICC 6th Stage 2C,Cancer Modifier
1635074,AJCC/UICC 6th Stage 2E,Cancer Modifier
1634457,AJCC/UICC 7th clinical Stage 1,Cancer Modifier
1634860,AJCC/UICC 7th clinical Stage 1A,Cancer Modifier
1634468,AJCC/UICC 7th clinical Stage 1A1,Cancer Modifier
1634627,AJCC/UICC 7th clinical Stage 1A2,Cancer Modifier
1633425,AJCC/UICC 7th clinical Stage 1A3,Cancer Modifier
1634958,AJCC/UICC 7th clinical Stage 1B,Cancer Modifier
1634294,AJCC/UICC 7th clinical Stage 1B1,Cancer Modifier
1634861,AJCC/UICC 7th clinical Stage 1B2,Cancer Modifier
1633366,AJCC/UICC 7th clinical Stage 1C,Cancer Modifier
1633321,AJCC/UICC 7th clinical Stage 1E,Cancer Modifier
1635659,AJCC/UICC 7th clinical Stage 1s,Cancer Modifier
1635182,AJCC/UICC 7th clinical Stage 2,Cancer Modifier
1633345,AJCC/UICC 7th clinical Stage 2A,Cancer Modifier
1634099,AJCC/UICC 7th clinical Stage 2A1,Cancer Modifier
1635034,AJCC/UICC 7th clinical Stage 2A2,Cancer Modifier
1635896,AJCC/UICC 7th clinical Stage 2B,Cancer Modifier
1634465,AJCC/UICC 7th clinical Stage 2C,Cancer Modifier
1635243,AJCC/UICC 7th clinical Stage 2E,Cancer Modifier
1635867,AJCC/UICC 7th Stage 1,Cancer Modifier
1633669,AJCC/UICC 7th Stage 1A,Cancer Modifier
1634690,AJCC/UICC 7th Stage 1A1,Cancer Modifier
1633677,AJCC/UICC 7th Stage 1A2,Cancer Modifier
1633971,AJCC/UICC 7th Stage 1A3,Cancer Modifier
1635138,AJCC/UICC 7th Stage 1B,Cancer Modifier
1633617,AJCC/UICC 7th Stage 1B1,Cancer Modifier
1633917,AJCC/UICC 7th Stage 1B2,Cancer Modifier
1634470,AJCC/UICC 7th Stage 1C,Cancer Modifier
1634419,AJCC/UICC 7th Stage 1E,Cancer Modifier
1635458,AJCC/UICC 7th Stage 1s,Cancer Modifier
1634181,AJCC/UICC 7th Stage 2,Cancer Modifier
1634937,AJCC/UICC 7th Stage 2A,Cancer Modifier
1635546,AJCC/UICC 7th Stage 2A1,Cancer Modifier
1635215,AJCC/UICC 7th Stage 2A2,Cancer Modifier
1634368,AJCC/UICC 7th Stage 2B,Cancer Modifier
1635193,AJCC/UICC 7th Stage 2C,Cancer Modifier
1633627,AJCC/UICC 7th Stage 2E,Cancer Modifier
1635758,AJCC/UICC 8th clinical Stage 1,Cancer Modifier
1634066,AJCC/UICC 8th clinical Stage 1A,Cancer Modifier
1633970,AJCC/UICC 8th clinical Stage 1A1,Cancer Modifier
1634021,AJCC/UICC 8th clinical Stage 1A2,Cancer Modifier
1635802,AJCC/UICC 8th clinical Stage 1A3,Cancer Modifier
1634160,AJCC/UICC 8th clinical Stage 1B,Cancer Modifier
1634512,AJCC/UICC 8th clinical Stage 1B1,Cancer Modifier
1635721,AJCC/UICC 8th clinical Stage 1B2,Cancer Modifier
1635248,AJCC/UICC 8th clinical Stage 1C,Cancer Modifier
1634761,AJCC/UICC 8th clinical Stage 1E,Cancer Modifier
1633698,AJCC/UICC 8th clinical Stage 1s,Cancer Modifier
1635217,AJCC/UICC 8th clinical Stage 2,Cancer Modifier
1635786,AJCC/UICC 8th clinical Stage 2A,Cancer Modifier
1633940,AJCC/UICC 8th clinical Stage 2A1,Cancer Modifier
1634141,AJCC/UICC 8th clinical Stage 2A2,Cancer Modifier
1634056,AJCC/UICC 8th clinical Stage 2B,Cancer Modifier
1634932,AJCC/UICC 8th clinical Stage 2C,Cancer Modifier
1635601,AJCC/UICC 8th clinical Stage 2E,Cancer Modifier
1634895,AJCC/UICC 8th Stage 1,Cancer Modifier
1633516,AJCC/UICC 8th Stage 1A,Cancer Modifier
1635814,AJCC/UICC 8th Stage 1A1,Cancer Modifier
1633944,AJCC/UICC 8th Stage 1A2,Cancer Modifier
1633704,AJCC/UICC 8th Stage 1A3,Cancer Modifier
1634698,AJCC/UICC 8th Stage 1B,Cancer Modifier
1633526,AJCC/UICC 8th Stage 1B1,Cancer Modifier
1634351,AJCC/UICC 8th Stage 1B2,Cancer Modifier
1633968,AJCC/UICC 8th Stage 1C,Cancer Modifier
1635738,AJCC/UICC 8th Stage 1E,Cancer Modifier
1635726,AJCC/UICC 8th Stage 1s,Cancer Modifier
1634316,AJCC/UICC 8th Stage 2,Cancer Modifier
1634226,AJCC/UICC 8th Stage 2A,Cancer Modifier
1635811,AJCC/UICC 8th Stage 2A1,Cancer Modifier
1635494,AJCC/UICC 8th Stage 2A2,Cancer Modifier
1635288,AJCC/UICC 8th Stage 2B,Cancer Modifier
1634900,AJCC/UICC 8th Stage 2C,Cancer Modifier
1635730,AJCC/UICC 8th Stage 2E,Cancer Modifier
1635199,AJCC/UICC clinical Stage 1,Cancer Modifier
1634671,AJCC/UICC clinical Stage 1A,Cancer Modifier
1634927,AJCC/UICC clinical Stage 1A1,Cancer Modifier
1633948,AJCC/UICC clinical Stage 1A2,Cancer Modifier
1635216,AJCC/UICC clinical Stage 1A3,Cancer Modifier
1633618,AJCC/UICC clinical Stage 1B,Cancer Modifier
1635184,AJCC/UICC clinical Stage 1B1,Cancer Modifier
1634794,AJCC/UICC clinical Stage 1B2,Cancer Modifier
1634813,AJCC/UICC clinical Stage 1C,Cancer Modifier
1635482,AJCC/UICC clinical Stage 1E,Cancer Modifier
1635293,AJCC/UICC clinical Stage 1s,Cancer Modifier
1633841,AJCC/UICC clinical Stage 2,Cancer Modifier
1635486,AJCC/UICC clinical Stage 2A,Cancer Modifier
1635115,AJCC/UICC clinical Stage 2A1,Cancer Modifier
1633489,AJCC/UICC clinical Stage 2A2,Cancer Modifier
1634332,AJCC/UICC clinical Stage 2B,Cancer Modifier
1635056,AJCC/UICC clinical Stage 2C,Cancer Modifier
1634917,AJCC/UICC clinical Stage 2E,Cancer Modifier
1633306,AJCC/UICC Stage 1,Cancer Modifier
1635790,AJCC/UICC Stage 1A,Cancer Modifier
1633565,AJCC/UICC Stage 1A1,Cancer Modifier
1635611,AJCC/UICC Stage 1A2,Cancer Modifier
1634353,AJCC/UICC Stage 1A3,Cancer Modifier
1634494,AJCC/UICC Stage 1B,Cancer Modifier
1634019,AJCC/UICC Stage 1B1,Cancer Modifier
1635020,AJCC/UICC Stage 1B2,Cancer Modifier
1634868,AJCC/UICC Stage 1C,Cancer Modifier
1633701,AJCC/UICC Stage 1E,Cancer Modifier
1635474,AJCC/UICC Stage 1s,Cancer Modifier
1634209,AJCC/UICC Stage 2,Cancer Modifier
1634123,AJCC/UICC Stage 2A,Cancer Modifier
1633743,AJCC/UICC Stage 2A1,Cancer Modifier
1634338,AJCC/UICC Stage 2A2,Cancer Modifier
1634028,AJCC/UICC Stage 2B,Cancer Modifier
1634903,AJCC/UICC Stage 2C,Cancer Modifier
1634914,AJCC/UICC Stage 2E,Cancer Modifier
